odd,date
2.05,2021-04-25 16:29:15.850742
2.73,2021-04-25 16:29:46.172561
45.05,2021-04-25 16:30:58.796606
1.58,2021-04-25 16:31:16.999811
2.58,2021-04-25 16:31:44.262714
1.07,2021-04-25 16:31:53.349070
1.46,2021-04-25 16:32:11.531536
1.47,2021-04-25 16:32:29.713527
1.16,2021-04-25 16:32:41.832206
1.25,2021-04-25 16:32:56.969358
2.73,2021-04-25 16:33:24.212433
3.87,2021-04-25 16:33:57.544288
,2021-04-25 16:34:09.679325
1.27,2021-04-25 16:34:12.699321
1.59,2021-04-25 16:34:27.846352
13.38,2021-04-25 16:35:22.361801
1.64,2021-04-25 16:35:40.516660
1.15,2021-04-25 16:35:55.707530
1.58,2021-04-25 16:36:13.860495
6.46,2021-04-25 16:36:53.228835
1.00,2021-04-25 16:37:05.345308
1.58,2021-04-25 16:37:23.526711
4.96,2021-04-25 16:37:59.841669
1.00,2021-04-25 16:38:08.926564
1.37,2021-04-25 16:38:27.092649
1.18,2021-04-25 16:38:39.217742
16.83,2021-04-25 16:39:36.765811
3.13,2021-04-25 16:40:07.112980
2.51,2021-04-25 16:40:34.360480
1.00,2021-04-25 16:40:43.472270
1.81,2021-04-25 16:41:04.721701
2.98,2021-04-25 16:41:31.992902
1.64,2021-04-25 16:41:53.207750
1.24,2021-04-25 16:42:08.356302
2.23,2021-04-25 16:42:32.623905
1.09,2021-04-25 16:42:44.754516
1.50,2021-04-25 16:42:59.890864
1.75,2021-04-25 16:43:21.102645
1.27,2021-04-25 16:43:36.271067
113.27,2021-04-25 16:45:04.086737
1.41,2021-04-25 16:45:19.241030
1.79,2021-04-25 16:45:40.470786
1.86,2021-04-25 16:46:01.667260
6.33,2021-04-25 16:46:44.033675
1.25,2021-04-25 16:46:59.183487
1.15,2021-04-25 16:47:11.300959
2.53,2021-04-25 16:47:38.565312
6.60,2021-04-25 16:48:17.956907
2.70,2021-04-25 16:48:45.205746
2.16,2021-04-25 16:49:12.482459
9.65,2021-04-25 16:50:00.919746
1.81,2021-04-25 16:50:22.137409
1.62,2021-04-25 16:50:40.265964
